영화명,감독,main_emotion,sub_emotion
화이트 노이즈,제프리 삭스,두려움,['혼란스러운']
"지금, 만나러 갑니다",도이 노부히로,기타,['회의적인']
피와 뼈,최양일,놀람,"['충격 받은', '희생된']"
인게이지먼트,장 삐에르 주네,두려움,"['회의적인', '눈물이 나는']"
호스티지,플로렝 에밀리오 시리,우울,"['마비된', '고립된', '두려운']"
추방된 사람들,토니 갓리프,우울,['마비된']
미트 페어런츠 2,제이 로치,두려움,"['조심스러운', '환멸을 느끼는', '걱정스러운']"
걸스 온 탑 2,피터 저지나,두려움,"['조심스러운', '혼란스러운(당황한)']"
코치 카터,토마스 카터,화남,"['안달하는', '회의적인']"
밀리언즈,대니 보일,행복,"['신이 난', '충격 받은']"
레트로그레이드,크리스터퍼 큘리코프스키,놀람,"['마비된', '충격 받은']"
펭귄나라 산타클로스,WILLIAM R. KOWALCHUK,우울,"['눈물이 나는', '눈물이 나는']"
신데렐라 스토리,마크 로스만,우울,['염세적인']
브랏츠,니코 리즈거스버스,우울,"['고립된(당황한)', '마비된']"
바이오니클 2 : 메트루 누이의 전설,"데이빗 몰리나,테리 셰익스피어",기타,['안달하는']
아무도 모른다,고레에다 히로카즈,우울,['마비된']
69 식스티 나인,이상일,화남,"['악의적인', '흥분']"
미스터 3000,찰스 스톤 3세,행복,['흥분']
소녀들의 비밀파티,조 너스바움,행복,['흥분']
위다웃 패들,스티븐 브릴,기타,['흥분']
애인 차는 법,다니엘 타플리츠,우울,['마비된']
사경(死境),김영일,기타,"['억울한', '회의적인']"
나쁘지 않아,임선애,우울,['눈물이 나는']
귀걸이,김보라,기타,['구역질 나는']
겨울철 독거노인,이정현 ,우울,['환멸을 느끼는']
사계절,박경선,기타,['염세적인']
신부와 편견,거린다 차다,두려움,['조심스러운']
머시니스트,브래드 앤더슨,화남,"['억울한', '충격 받은']"
거북이도 난다,바흐만 고바디,기타,['염세적인']
뽀로로의 대모험,김현호,행복,['자신하는']
어바웃 러브,존 헤이,우울,"['부끄러운', '혼란스러운']"
"하와이, 오슬로",에릭 포페,기타,['염세적인']
그루지,시미즈 다카시,놀람,['충격 받은']
스팽글리쉬,제임스 L.브룩스,우울,"['눈물이 나는', '두려운']"
착신아리 2,츠카모토 렘페이,우울,"['염세적인', '충격 받은', '억울한']"
라스트 샷,제프 나단슨,기타,['환멸을 느끼는']
세이브 미,브라이언 대넬리,기타,"['혼란스러운', '혐오스러운']"
크리미날,그레고리 제이콥스,화남,['악의적인']
트로이스 3,스케브 원,두려움,"['취약한', '충격 받은']"
킨제이 보고서,빌 콘돈,놀람,"['혼란스러운(당황한)', '충격 받은']"
스파르탄,데이비드 마멧,우울,['마비된']
에쥬케이터,한스 바인가르트너,두려움,"['혐오스러운', '혼란스러운']"
하우스 오브 디,데이빗 듀코브니,화남,"['괴로워하는', '비통한']"
스팀보이,오토모 가츠히로,화남,"['안달하는', '희생된']"
"구름의 저편, 약속의 장소",신카이 마코토,기타,['고립된']
뉴욕 미니트 (뉴욕 어드벤처),데니 고든,두려움,['두려운']
멜린다와 멜린다,우디 알렌,두려움,"['조심스러운', '조심스러운']"
나폴레옹 다이너마이트,자레드 헤스,기타,['조심스러운']
위험한 관계,제임스 토백,놀람,"['혐오스러운', '충격 받은']"
퍼펙트 크라임,알렉스 드 라 이글레시아,행복,['자신하는']
사하라,브렉 에이즈너,두려움,"['흥분', '두려운']"
프리즈 프레임,존 심슨,기타,['마비된']
범퍼킹 재퍼,이경호,우울,"['염세적인', '비통한']"
나인 라이브스,데이비드 카슨,두려움,"['조심스러운', '혼란스러운']"
반복,김영민,기타,['느긋']
드랙퀸 가무단,주미령,기타,['고립된(당황한)']
캐산,키리야 카즈아키,행복,"['희생된', '흥분']"
아기나무,"이광욱,이지윤,허복문,문형범",두려움,['두려운']
아침,박열,우울,['염세적인']
시뮬레이터,한희창,화남,['억울한']
아프리카 아프리카,한태호,우울,['고립된']
관&운 스토리,"한재훈,한혜진",행복,['흥분']
투모야 아일랜드,김대홍,평온,['안도']
Smart,김정호,기타,['염세적인']
철근 2T,손영준,두려움,['희생된']
데드 리브즈,이마이시 히로유키,놀람,['충격 받은']
탈,박재모,우울,['눈물이 나는']
브라더스,수잔 비어,우울,['눈물이 나는']
스티브 지소와의 해저생활,웨스 앤더슨,두려움,"['조심스러운', '안도']"
스피시즈 3,브래드 터너,기타,['염세적인']
아이 러브 허커비,데이비드 러셀,두려움,['조심스러운']
애프터 썬셋,브렛 래트너,행복,"['흥분', '안달하는']"
해롤드와 쿠마,대니 레이너,기타,['마비된']
굿 우먼,마이크 바커,기타,"['혐오스러운', '혐오스러운']"
인 굿 컴퍼니,폴 웨이츠,화남,"['염세적인', '배신당한']"
출동! 로봇 V,,기타,['두려운']
셔터,"반종 피산다나쿤,팍품 웡품",우울,['염세적인']
토니 타키타니,이치가와 준,두려움,"['조심스러운', '괴로워하는']"
별나라 슈퍼쭈리,,두려움,"['두려운', '흥분', '고립된(당황한)', '부끄러운']"
버스데이 보이,박세종,우울,['염세적인']
사냥꾼,세릭 아프리모브,우울,['마비된']
대결,아흐마드 레자 다르비쉬,기타,['조심스러운']
퀼,최양일,우울,"['염세적인', '흥분']"
에로스,"왕가위,스티븐 소더버그,미켈란젤로 안토니오니",두려움,"['남의 시선을 의식하는', '혼란스러운(당황한)']"
아름다운 세탁기,제임스 리,화남,['악의적인']
트라이 킹덤,,기타,['마비된']
레이어 케이크,매튜 본,화남,"['악의적인', '분노']"
수호전사 맥스맨,최성덕,기타,['조심스러운']
불량공주 모모코,나카시마 테츠야,행복,"['분노', '자신하는']"
크림슨 리버 2 : 요한 계시록의 천사들,올리비에 다한,우울,"['염세적인', '충격 받은']"
탄생,조나단 글레이저,기타,['혼란스러운(당황한)']
니벨룽겐의 반지,올리 에델,우울,['염세적인']
가든 스테이트,잭 브라프,두려움,['취약한']
프라이데이 나잇 라이트,피터 버그,기타,['조심스러운']
팻 앨버트,조엘 즈윅,두려움,['조심스러운']
사랑을 하는 여자 창녀,클로드 포니어,우울,"['낙담한', '희생된']"
웨이크 오브 데쓰,필리페 마티네즈,기타,['마비된']
랜드 오브 플렌티,빔 벤더스,두려움,"['두려운', '혼란스러운']"
베니스의 상인,마이클 래드포드,우울,"['염세적인', '억울한']"
빙 줄리아,이스트반 자보,우울,['염세적인']
영화소년 샤오핑,소강,두려움,"['당혹스러운', '염세적인', '마비된']"
이터널 선샤인,미셸 공드리,우울,['염세적인']
처칠,피터 리차드슨,두려움,"['흥분', '희생된']"
우리 사이 짱이야,,우울,['염세적인']
투모야 친구들,김대홍,기타,['염세적인']
한국에서 비정규직으로 산다는 것은,,기타,['눈물이 나는']
올드보이의 추억,김민석,우울,"['염세적인', '고립된(당황한)']"
"길 위에 연, 날다",김영준,우울,['눈물이 나는']
인비져블 1: 숨은 소리 찾기,유준석,행복,['흥분']
눈물,최지선,우울,['눈물이 나는']
따귀 때리다,이정아,화남,['방어적인']
박치기!,이즈츠 카즈유키,우울,['염세적인']
견제부자,홍성혁,행복,['자신하는']
스윙걸즈,야구치 시노부,기타,"['낙담한', '조심스러운']"
개와 고양이,이구치 나미,우울,"['염세적인', '혼란스러운']"
크래쉬,폴 하기스,우울,"['마비된', '방어적인', '염세적인']"
오늘의 사건사고,유키사다 이사오,우울,['부끄러운']
투 브라더스,장 자끄 아노,기타,['배신당한']
랑데부,박은영,기타,['조심스러운']
내니 맥피 - 우리 유모는 마법사,커크 존스,화남,"['악의적인', '혼란스러운(당황한)']"
크리스마스 건너뛰기,조 로스,두려움,"['당혹스러운', '당황']"
Wake up?,"최광길,김무준",기타,['염세적인']
구멍,곽인호,우울,['마비된']
바이칼,윤영호,우울,['염세적인']
천국의 책방,시노하라 테츠오,우울,"['슬픔', '혼란스러운']"
오늘 저녁엔,김상아,평온,['편안한']
겨울여행,로베르토 안도,우울,['염세적인']
도쿄 타워,미나모토 다카시,두려움,"['조심스러운', '충격 받은']"
나그네와 마술사,키엔츠 노부,평온,"['느긋', '염세적인']"
스위트 크리스마스,채즈 팔민테리,우울,"['눈물이 나는', '흥분', '당혹스러운', '비통한']"
사탄의 인형 5 - 사탄의 씨앗 처키,돈 만치니,행복,['흥분']
커커시리 : 마운트 패트롤,루 주안,우울,['염세적인']
호텔 르완다,테리 조지,기타,['악의적인']
뽀야,최도영,놀람,['충격 받은']
빨간 구두,세르지오 카스텔리토,기타,"['염세적인', '마비된']"
보글보글 스폰지밥,스테판 힐렌버그,평온,"['흥분', '안도']"
개구리 중사 케로로 - 최종병기 키루루,"사토 준이치,곤도 노부히로,카메카기 하지메",두려움,['혼란스러운']
블라인드 호라이즌,마이클 하우스만,두려움,"['배신당한', '회의적인', '두려운']"
리베르 탱고,박은지,행복,['흥분']
춘몽,심정민,기타,['부끄러운']
면회,안현준,기타,['고립된(당황한)']
오뎅 먹는 여자,박은영,기타,"['안달하는', '마비된']"
어른 아가씨 되기,김소성,기타,['고립된(당황한)']
원 데이 피크닉,제지인,행복,['신이 난']
콤마 2004-1,민병우,기타,"['방어적인', '자신하는']"
모지션,함준서,우울,['눈물이 나는']
yellow3,이지선,행복,"['자신하는', '당혹스러운', '염세적인']"
대통령을 죽여라,닐스 뮬러,화남,"['좌절한', '취약한']"
모순,이승원,우울,['염세적인']
인하우스 ,노내경,기타,['두려운']
즐거운 봄,이성민,우울,['눈물이 나는']
홍시,장미경,기타,['혼란스러운(당황한)']
플레이 테니스,류진호,행복,"['흥분', '초조한']"
크립,크리스토퍼 스미스,두려움,"['초조한', '충격 받은']"
시선,유승조,두려움,"['혼란스러운', '구역질 나는']"
제눈에 안경,한승환,기타,['배신당한']
5X2,프랑소와 오종,우울,['염세적인']
환상적인 생명체들,황은정,기타,['조심스러운']
러시안 묵시록,에브게니 라브렌티에프,우울,"['충격 받은', '마비된']"
단속평형,손광주,기타,['자신하는']
택시 드라이버,양영철,화남,['분노']
우리집,강대희,두려움,['두려운']
빨간 매니큐어,권지연,우울,['눈물이 나는']
어느 날,박준형,두려움,['조심스러운']
완전한 사육 5 - 미용사의 사랑,코바야시 마사히로,놀람,['충격 받은']
운명,백승훈,우울,['염세적인']
웜 & 콜드,김지현,기타,['마비된']
네 멋대로 해라,이재환,우울,['염세적인']
플레이 버튼,권혁재,우울,['고립된']
바다를 건너는 11가지 방법,"강현석,최성환",놀람,['충격 받은']
선화요,"홍김은미,박동인",기타,['혐오스러운']
다시 생각하자면...,"김범수,쫑내&김브라더스",우울,['슬픔']
익스트림 보이즈,황은숙,우울,['마비된']
꿈꾸는 그림자,장윤랑,기타,['눈물이 나는']
아이즈,"손현주,김수미",기타,['눈물이 나는']
곰팡이,유슬기,우울,['눈물이 나는']
드래곤 : 파이어 앤 아이스,케이스 잉햄,놀람,"['충격 받은', '마비된', '두려운']"
비상구,김동한,놀람,['당황']
아이돌섹스,매티아스 X. 오버그,행복,"['흥분', '두려운']"
세이빙 페이스,앨리스 우,화남,"['염세적인', '억울한']"
무지개를 팝니다,"박지예,이한빛",두려움,['조심스러운']
아버지의 기차역,"임진아,허정은",우울,['눈물이 나는']
원고지,이원회,기타,['한심한']
악을 토하다,한재빈,기타,['충격 받은']
에스페란토,오자초,우울,['염세적인']
"세가지 사랑, 정사",괴츠 스필만,두려움,"['두려운', '두려운']"
Dog,"길영진,이민규,장영준,조현국,홍승일",기타,['충격 받은']
Hand's Story,"이무성,윤여현",우울,['마비된']
계란투석(鷄卵投石),"김진현,김용희,서동명,박병주,주세종",화남,['악의적인']
사탕하나,"심정보,유상하,유성재,김택권",우울,['염세적인']
인형의 꿈,"김영호,김도경,김창희,문운학,김정훈",우울,['눈물이 나는']
카페안에 무슨일이,"김유미,홍원경,양지하",우울,['마비된']
Freestyle,"김진호,홍용택,홍대일",행복,['흥분']
Now Sending,"이장우,김수경,김유나",우울,['눈물이 나는']
소녀와 호랑이,"방종옥,송미연",기타,['혐오스러운']
아름다운 비행,"장명화,정다운",우울,['고립된']
어리버리 동키호떼,"송치범,허석",기타,['흥분']
해 태우는 이야기,"김옥란,정재영,이소라,이성연",기타,['염세적인']
베토벤 뒤집기,"조재욱,노현정,서영은",행복,['흥분']
어느날,"정나래,정소영,정미선,정소라,김동호",두려움,['혼란스러운']
따라하기,"박지현,이명희,이소라,이지혜",기타,['눈물이 나는']
아워 뮤직,장 뤽 고다르,기타,['걱정스러운']
HAPPEN,"민동석,박종휴,성동욱,윤새길,이승환,최재수",두려움,['초조한']
되어라!,유정아,우울,['열등감']
나에게 사랑스런 컴퓨터,정세화,기타,['염세적인']
아웃사이더,전성희,우울,['고립된']
동화,"김아름잔디,김예리,류승미,박혜민,송민주",우울,['마비된']
"난, 바비니까","허수정,송하나",기타,['환멸을 느끼는']
오르페브르 36번가,올리비에 마르샬,우울,"['염세적인', '환멸을 느끼는']"
아트 오브 시크릿,세르지오 카브레라,기타,['충격 받은']
약 서른개의 거짓말,오오타니 켄타로,화남,['배신당한']
사랑의 문,마츠오 스즈키,기타,['조심스러운']
녹차의 맛,이시이 카츠히토,두려움,"['두려운', '흥분']"
예언,츠루타 노리오,놀람,"['충격 받은', '희생된', '비통한']"
리틀 러너,마이클 맥고완,행복,"['기쁨', '비통한']"
이사소동,샹탈 아커만,두려움,['조심스러운']
뛰는게 좋아,변정욱,두려움,['희생된']
모기,정하린,기타,['두려운']
바람처럼,김동한,우울,['눈물이 나는']
그늘,차봉주,우울,['눈물이 나는']
메멘토 모리,이돈섭,두려움,['조심스러운']
내 동생,전수연,우울,['눈물이 나는']
Happy Pierrot,황정우,우울,['눈물이 나는']
차갑고 좁은,강규헌,기타,['염세적인']
사면초가,김민용,우울,['염세적인']
올드 구두,"유미나,남유진",기타,['눈물이 나는']
극단적 하루,고기찬,우울,['마비된']
무인도,"신정은,김미옥",우울,['고립된']
되면 한다,최원섭,행복,['흥분']
전학생,한완수,화남,['악의적인']
브이,박준규,우울,['마비된']
시선의 사다리,권세안,화남,['분노']
잠에서 깨어나다,"최연희,석수진",우울,['눈물이 나는']
교차로,박대종,우울,['가난한 불우한']
인형,최영주,기타,['혐오스러운']
잠자와 그레테,이연철,기타,['고립된(당황한)']
사과,이지홍,우울,['염세적인']
기약,이동수,두려움,['당혹스러운']
사랑은 남자랑만 해야돼?,이은주,기타,['질투하는']
I Can Fly,이유진,평온,['느긋']
더 플로우,장운하,기타,['마비된']
냉전,정광근,놀람,['충격 받은']
정신변자,"백승현,양혜은",행복,['흥분']
무서운 이웃,오지혜,두려움,['두려운']
광산,한재현,우울,['염세적인']
예스,샐리 포터,두려움,['회의적인']
엔비,배리 레빈슨,화남,['질투하는']
그 해 여름의 방,이제희,우울,['비통한']
코니와 칼라,마이클 렘벡,기타,['남의 시선을 의식하는']
더 레터,파-온 찬드라시리,우울,"['염세적인', '눈물이 나는']"
더 우드맨,니콜 카셀,놀람,['충격 받은']
13구역,삐에르 모렐,두려움,"['억울한', '혼란스러운']"
러브 송 포 바비 롱,샤이니 게이벨,두려움,['초조한']
딜리버리 브라더스,최영훈,기타,['조심스러운']
캬라멜리아,정소영,우울,['눈물이 나는']
애프터 미드나잇,다비데 페라리오,우울,"['염세적인', '눈물이 나는']"
치유하다,정치열,우울,['염세적인']
그녀는 날 싫어해,스파이크 리,기타,['충격 받은']
세계,지아 장 커,우울,['슬픔']
몽골리언 핑퐁,닝 하오,화남,['배신당한']
와일드 매치,코마류 타카시,기타,['염세적인']
셀룰러,데이비드 R. 엘리스,화남,['안달하는']
택시 운전수의 사랑,콩데이 자투라나사미,우울,['염세적인']
붉은 달,후루하타 야스오,기타,['눈물이 나는']
비욘드 더 씨,케빈 스페이시,기타,['질투하는']
변신,박형곤,두려움,['두려운']
춤추는그녀,김가현,평온,['느긋']
야마카시 2,줄리안 세리,두려움,['희생된']
파이널 컷,오마 나임,우울,"['염세적인', '염세적인']"
감염,오치아이 마사유키,두려움,['두려운']
디어 프랭키,샤오나 오에르바흐,우울,['눈물이 나는']
친밀한 타인들,빠트리스 르꽁트,기타,['외로운']
킴 베신져의 바람난 가족,토드 윌리암스,행복,['흥분']
두 여자 이야기,정필선,우울,['마비된']
초혼(죽은 이의 혼을 부르는 의식),"김기남,김은주,박용주,윤준상,최정선,윤준상",화남,['배신당한']
효녀심chung,김정욱,우울,['염세적인']
인플루엔자,봉준호,우울,['염세적인']
Disposable Thoughts,손유경,화남,['악의적인']
To Mark Out,김용태,우울,['마비된']
점,곽수영,우울,['마비된']
플라이,김민호,우울,['마비된']
테크노 베이컨시,강경태,우울,['마비된']
장군과 나,오창수,행복,['자신하는']
인베이더,박종후,두려움,['조심스러운']
일박 이일,이은천,놀람,['충격 받은']
와이 낫 커뮤니티,박용제,기타,['구역질 나는']
역진화론 ? 갈아 만든 에덴,김정구,우울,"['비통한', '후회되는']"
시간의 결,이규만,우울,['마비된']
수박에 칼을 꽂다,박인현,기타,['혐오스러운']
디너,,우울,['염세적인']
빽,김성수,화남,['악의적인']
끊임없이 흘러가는,강소영,우울,['염세적인']
굿럭,정빈영,기타,['한심한']
게임,황우양,두려움,"['혐오스러운', '조심스러운']"
사랑해도 참을 수 없는 101가지,매트 쿠퍼,기타,['기쁨']
그들만의 러브 매치,벤트라 폰즈,두려움,['남의 시선을 의식하는']
"그 남편, 그 여자의 사정",토미오카 타다푸미,놀람,"['부끄러운', '당황']"
기묘한 아파트,하라 마사히로,화남,['안달하는']
마음과 몸,안도 히로시,우울,"['염세적인', '고립된']"
달과 체리,타나다 유키,두려움,['조심스러운']
걸프렌드,히로키 류이치,놀람,['당황']
은행털이범과 어머니,쿠마키리 카즈요시,두려움,"['남의 시선을 의식하는', '질투하는']"
클럽 진주군,사카모토 준지,기타,"['혐오스러운', '눈물이 나는']"
터미네이터 독,브라이언 유즈나,기타,['마비된']
실종,마레크 카네브스카,기타,['충격 받은']
킹스 앤 퀸,아나드 데스플레친,우울,"['고립된', '염세적인', '염세적인', '마비된']"
여우 사이 - 여기서 우리의 사랑을 이야기하자,윤여창,두려움,['혼란스러운']
러브 인 클라우즈,존 두이간,행복,"['신이 난', '비통한', '두려운']"
바람난 여자,로드리고 오르투자,우울,"['염세적인', '혐오스러운']"
창녀,마리아 리든,기타,"['혐오스러운', '조심스러운']"
대사건,두기봉,우울,['염세적인']
대사건,두기봉,기타,['배신당한']
옹박 3,"판나 리티크라이,페치타이 웡캄라오",두려움,['혼란스러운']
리틀 블랙 북,닉 허랜,두려움,['회의적인']
발토 3,필 웨인스타인,우울,['낙담한']
스티븐 킹의 세일럼스 롯,미카엘 살로몬,기타,['염세적인']
아트 하이스트,브라이언 고어스,화남,['억울한']
펑키 몽키,해리 바실,행복,"['자신하는', '악의적인']"
쏘울 플레인,,놀람,"['충격 받은', '흥분']"
에이전트 코디뱅스 2,,두려움,"['두려운', '악의적인']"
캐치 댓 머니,,기타,['혼란스러운']
클럽 드레드,제이 찬드라세카르,기타,['흥분']
더 게임즈,루이스 모르뉴,화남,"['악의적인', '두려운']"
데드 버드,알렉스 터너,두려움,['두려운']
보아 대 비단뱀,데이빗 플로레스,기타,['악의적인']
지나 거손의 쓰리웨이,스캇 질,기타,['혐오스러운']
프랑켄피쉬,마크 A.Z. 디페,기타,['염세적인']
리버틴,로렌스 던모어,두려움,['희생된']
썸머 스톰,마르코 크레즈페인트너,두려움,['혼란스러운']
스토킹 그리고 섹스 2,요시다 료쿄,기타,['충격 받은']
스테이지 뷰티,리차드 이어,행복,"['자신하는', '흥분']"
새벽의 황당한 저주,에드가 라이트,우울,"['마비된', '마비된']"
대통령의 딸,포레스트 휘태커,두려움,['회의적인']
애플시드,아라마키 신지,우울,"['마비된', '혼란스러운']"
링 게이트,마이클 바파로,두려움,['두려운']
베라 드레이크,마이크 리,기타,['염세적인']
열대병,아핏차퐁 위라세타쿤,행복,['흥분']
아홉째 날,폴커 쉴런도르프,기타,['희생된']
피너스 엔비,박미나,기타,['혐오스러운']
레이즈 유어 보이스,숀 맥나마라,화남,['배신당한']
라벤더의 연인들,찰스 댄스,행복,"['흥분', '눈물이 나는']"
러브스 브라더,얀 사르디,놀람,"['충격 받은', '두려운']"
이노센트 보이스,루이스 만도키,우울,"['염세적인', '가난한 불우한', '배신당한']"
토네이도 : 데들리 스톰,알란 자쿠보비츠,기타,['염세적인']
데스노트 vs 이블노트,마크 앳킨스,화남,['악의적인']
폴른,아리 타브,기타,['혼란스러운']
커플,존 달리,두려움,['희생된']
기품있는 마리아,조슈아 마스턴,두려움,['회의적인']
소멸하는 별빛,켄 제이콥스,우울,['마비된']
절망의 끝,데브라 그래닉,화남,['구역질 나는']
물라데,우스만 셈벤,기타,['염세적인']
촉루성의 7인 - 레드버전,,화남,['악의적인']
Whisky,"후앙 파브로 레벨라,파블로 스톨",기타,['고립된(당황한)']
삶은 기적이다,에밀 쿠스트리차,두려움,['희생된']
우리의 시간은 끝나고,롭 펄스타인,우울,['환멸을 느끼는']
런어웨이,울리케 그로테,두려움,['희생된']
라스트 팜,루나 루나슨,기타,['마비된']
식스 슈터,마틴 맥도나,기타,['부끄러운']
빈타와 좋은 생각,자비에 페서,기타,['눈물이 나는']
이브스 애플,성수진,우울,['부끄러운']
요시노 이발관,오기가미 나오코,기타,['악의적인']
개입자,끌레르 드니,기타,['염세적인']
Hollow City,마리아 호아오 강가,우울,['고립된']
베컴이 오웬을 만났을때,황수평,기타,['혼란스러운(당황한)']
Our Own,드미트리 메스히예프,우울,['염세적인']
버팔로 보이,민 뉴엔 보,우울,"['염세적인', '마비된']"
열일곱살의 하늘,디제이 첸,기타,['비통한']
The Weeping Meadow,태오 앙겔로플로스,기타,"['마비된', '눈물이 나는']"
미낙시:세도시 이야기,M.F. 후세인,행복,['흥분']
이조,미이케 다카시,우울,"['염세적인', '마비된']"
베니와 마르코,얀 크루거,화남,['배신당한']
천하무적,풍소강,기타,['안달하는']
그는 대좌였다,"채풍기,온근식",우울,"['초조한', '당혹스러운', '실망한', '당황', '후회되는', '억울한', '당황', '마비된']"
나의 스승,조성근,우울,"['눈물이 나는', '신뢰하는']"
먼산의 노을,정윤,두려움,"['눈물이 나는', '희생된', '충격 받은', '죄책감의', '기쁨']"
붉은 열매,,행복,"['자신하는', '기쁨']"
순간을 기다려 (전편),정건조,행복,['자신하는']
시대는 축복한다,장인학,행복,['감사하는']
오늘은 10명 당원,,행복,['만족스러운']
존엄,"김춘송,유용",우울,"['분노', '낙담한', '회의적인', '낙담한', '낙담한', '희생된', '희생된', '자신하는']"
피묻은 략패,표광,두려움,"['조심스러운', '염세적인']"
피묻은 략패(후),표광,우울,"['비통한', '배신당한', '눈물이 나는', '마비된']"
량,"감해원,류명희,진부향",행복,['자신하는']
현대인,최민규,우울,"['염세적인', '부끄러운']"
보호자동반상상,심범식,놀람,['충격 받은']
오르,카렌 예다야,기타,['혼란스러운(당황한)']
이니스쿨,데이빗 맥캠리,기타,['염세적인']
뗏목,다나엘 만,행복,['흥분']
그와 동행,최용석,기타,['고립된']
등소평 1928,이갈포,기타,['자신하는']
칼슘 키드,알렉스 디 라코프,우울,['낙담한']
엑조티코어,니콜라스 프로보스트,기타,['고립된']
천재소년,아딧야 아싸랏,우울,['염세적인']
텐 미니츠,알베르토 후이즈 호조,행복,['흥분']
P.S. 온리 유,딜런 키드,두려움,"['흥분', '혼란스러운']"
가수 요제피나 - 혹은 쥐의 일족,함경록,우울,['마비된']
더 헌터,파코 플라자,놀람,['충격 받은']
경련,타지리 유지,기타,['혼란스러운']
아오이 소라의 치한 전차,타로 한페이,두려움,['취약한']
달콤한 악마의 유혹,알렉 볼드윈,화남,['악의적인']
"티, 타임",이사무엘,우울,['염세적인']
어느 네 팔 소녀의 아주 사소한 이야기,김은주,기타,['고립된(당황한)']
천공,왕성익,두려움,['당혹스러운']
영업 중 외출,박준범,우울,"['고립된', '염세적인']"
백 투 가야,"레나르드 프리츠 크라빙켈,호거 태프",행복,['흥분']
행복한 가족,임주현,기타,['혼란스러운(당황한)']
갈증,리건,기타,['비통한']
그래도 나에겐 로또가 있다,전재훈,기타,['혼란스러운']
멸공의 횃불,이민우,우울,['마비된']
네게 맞는 약은 살뚝한 가위뿐,김유리,두려움,['두려운']
달콤한 우화,방의석,기타,['당혹스러운']
질,이장훈,두려움,['두려운']
팡팡 퀴즈쇼 커플 예선전,강진아,화남,['방어적인']
서울 블루스,이학수,기타,['악의적인']
하얀 풍선,류도열,화남,['억울한']
브레이크 타임,최정인,기타,['염세적인']
2km 주유소,"남은영,이승원",기타,['마비된']
나폴라,데니스 간셀,우울,['염세적인']
목이 잘려도…,이준호,기타,['마비된']
뷰티 21,이영재,화남,['안달하는']
제4종조우,송우진,기타,['악의적인']
터치,백선희,우울,['고립된']
결혼기념일,안일환,우울,['슬픔']
내 남편을 구해라,류근환,두려움,['두려운']
목구멍 깊숙이,"이정현,김태경",두려움,['당혹스러운']
어느날 2,박준형,화남,['배신당한']
어쩌다 그녀가,정민철,기타,['혐오스러운']
양보의 미덕,강석훈,두려움,['혼란스러운']
"마지막 사랑, 첫사랑",토마 히사시,우울,['눈물이 나는']
하드코어,데니스 일리아디스,화남,['악의적인']
블랙 키스,테즈카 마코토,우울,['마비된']
토리,아사노 타다노부,두려움,['조심스러운']
마추카,안드레스 우드,행복,['만족스러운']
그로우,엄화영,기타,['두려운']
지구,송지현,우울,['염세적인']
탕웨이의 투캅스,장청,두려움,['조심스러운']
프롤로그,벨라 타르,우울,"['흥분', '부끄러운']"
소림강시 2012,공상덕 ,기타,['염세적인']
다정한 입맞춤,켄 로치,놀람,['충격 받은']
고질라-파이널 워즈,기타무라 류헤이 ,우울,['염세적인']
최면,데이빗 카레라스,두려움,['혼란스러운']
그리고 그들은 행복하게 살았습니다,이반 아탈,두려움,['조심스러운']
모스크바 히트,제프 셀렌타노,우울,['마비된']
나인 송즈,마이클 윈터바텀,우울,['슬픔']
침입,기엠 모랄레스,화남,['방어적인']
스트링스,안드레스 로노 클라룬드,우울,['마비된']
디스트릭트,아론 가우더,우울,['가난한 불우한']
죽은 자의 신발,쉐인 메도우스,화남,['악의적인']
사랑을 견뎌내기,로저 미셸,우울,['마비된']
앵커맨,아담 맥케이,화남,['악의적인']
세상 끝의 집,마이클 메이어,기타,['눈물이 나는']
레당산의 공주,소 통 힌,우울,"['낙담한', '분노']"
휴가,라야 마틴,두려움,['조심스러운']
모딜리아니,마이클 데이비스,기타,['조심스러운']
사랑의 결과,파올로 소렌티노,우울,['염세적인']
위대한 여행,이즈마엘 페루키,우울,['눈물이 나는']
혁명의 여인 올가,제이미 몬자딤,우울,"['염세적인', '마비된']"
미스테리어스 스킨,그렉 아라키,놀람,['충격 받은']
심플리벤지,브라이언 알베릴,우울,['염세적인']
우울증에 관한 세 가지 사례보고,이준호,평온,['편안한']
배니쉬드 워드,"조나현,장 자크 프르네",두려움,['조심스러운']
명탐정 코난 : 은빛 날개의 마술사,야마모토 야스이치로,기타,['안달하는']
아르센 루팡,장-폴 살롬,두려움,['혼란스러운']
뷰티풀 드리머,한정녕,기타,['충격 받은']
죽은 사람들,리산드로 알론소,행복,['흥분']
하드보일드 액션 소녀,조승연,우울,['비통한']
여고생,윤범경,두려움,['조심스러운']
컨트롤,팀 헌터,기타,['흥분']
하리수 도색,양범,기타,['혐오스러운']
프라이빗,사베리오 코스탄조,화남,['분노']
앙가르드,"아이세 폴랏,마리아 크와코위스",행복,['흥분']
미완의 이야기,핫산 엑타파나,우울,['마비된']
Toni Takitani,이치가와 준,두려움,"['취약한', '괴로워하는']"
Toni Takitani,이치가와 준,기타,['염세적인']
용서,이안 가브리엘,기타,['흥분']
결혼식,Wojciech Smarzowski,행복,['흥분']
What a Smart Cat!?,김정호,우울,['비통한']
힙합 대한민국,정광근,행복,['흥분']
그림자,장병윤,우울,['마비된']
